Simulation Time Points,Cells,Contacts,Minutes,Log(Cells)
0,1,,,
10,5,9,0.36914,0.698970004
20,28,72,0.375954,1.447158031
30,94,305,0.389749,1.973127854
40,332,1295,0.419671,2.521138084
50,942,4152,0.474805,2.974050903
60,2265,11036,0.576007,3.355068206
70,4654,23980,0.758087,3.667826379
80,8571,45678,1.061487,3.933031495
90,14320,78419,1.595277,4.155943018
100,22506,125915,2.428352,4.352298315
110,33515,190720,3.654536,4.525239224
120,47960,276855,5.508197,4.680879174
130,66390,386973,8.078804,4.822102669
140,89327,525007,11.39158,4.950982749
150,116803,692275,16.794238,5.067453998
160,149912,894278,23.041374,5.175836398
170,189149,1134429,31.725441,5.27680405
180,234774,1415185,41.216366,5.370649999
190,287714,1741324,54.494076,5.458960995
