Time in hours,Log(cells)
0.003056,0.84509804
0.00318,1.3802112417
0.00346,1.9956351946
0.003957,2.5276299009
0.00493,2.9863237771
0.0067,3.356981401
0.009793,3.6673595462
0.014767,3.9128063927
0.022732,4.0997496808
0.033389,4.2336559397
0.047544,4.3294792384
0.064706,4.4042691089
0.085274,4.4681404743
0.108115,4.5236034121
0.133855,4.5706479984
0.163201,4.6146547024
0.196179,4.654330588
0.234191,4.6896284675
0.277053,4.7230121204
0.317248,4.7537821606
0.366209,4.7830813563
0.415804,4.8097885847
0.474193,4.8352592329
0.546036,4.8594025178
0.60939,4.8824790001
0.688346,4.9043097258
0.761846,4.925281143
0.845337,4.9451089862
0.930348,4.9638067093
1.03707,4.9823888385
1.143029,4.9997089252
1.234969,5.0167534633
1.328938,5.0326550177
1.458729,5.0482164403
1.577444,5.0630742815
1.704753,5.0778364724
